GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
5158472,160,51,,,,,,Oakton CDP,34166,13691,29348,11392,8882,7648
5159336,160,51,,,,,,Onancock town,1263,753,1525,733,334,393
5159416,160,51,,,,,,Opal CDP,691,232,,,185,
5159496,160,51,,,,,,Orange town,4721,1991,4123,1712,1058,1010
5160296,160,51,,,,,,Painter town,229,113,246,117,56,70
5160392,160,51,,,,,,Palmyra CDP,104,55,,,28,
5160500,160,51,,,,,,Pantops CDP,3027,1860,,,664,
5160840,160,51,,,,,,Parrott CDP,435,228,,,131,
5160888,160,51,,,,,,Passapatanzy CDP,1283,439,,,329,
5160920,160,51,,,,,,Pastoria CDP,649,295,,,173,
5161208,160,51,,,,,,Pearisburg town,2786,1349,2729,1279,775,790
5161336,160,51,,,,,,Pembroke town,1128,555,1134,520,319,317
5161464,160,51,,,,,,Penhook CDP,801,961,726,694,266,244
5161832,160,51,,,,,,Petersburg city,32420,16326,33740,15955,7697,8508
5161896,160,51,,,,,,Phenix town,226,117,200,94,64,62
5162738,160,51,,,,,,Piney Mountain CDP,1130,452,,,297,
5163190,160,51,,,,,,Plum Creek CDP,1524,664,,,418,
5163768,160,51,,,,,,Poquoson city,12150,4726,11566,4300,3582,3370
5164000,160,51,,,,,,Portsmouth city,95535,40806,100565,41605,23987,25482
5164152,160,51,,,,,,Potomac Mills CDP,5614,1763,,,1335,
5164272,160,51,,,,,,Pound town,1037,502,1089,516,298,322
5164512,160,51,,,,,,Prices Fork CDP,1066,470,,,280,
5164560,160,51,,,,,,Prince George CDP,2066,892,,,564,
5164976,160,51,,,,,,Pungoteague CDP,347,160,,,97,
5165120,160,51,,,,,,Quantico town,480,308,561,359,105,108
5165128,160,51,,,,,,Quantico Base CDP,4452,1071,,,1033,
5165280,160,51,,,,,,Quinby CDP,282,205,,,85,
5165744,160,51,,,,,,Raven CDP,2270,1081,2593,1219,653,775
5165776,160,51,,,,,,Ravensworth CDP,2466,857,,,648,
5166672,160,51,,,,,,Reston CDP,58404,26787,56407,24210,14809,14489
5166896,160,51,,,,,,Rich Creek town,774,326,665,312,184,187
5166928,160,51,,,,,,Richlands town,5823,2860,4144,2137,1632,1223
